EdgeOnlyMeta =>  XEdge	2.0000	-1.0288	0.088	-0.020	0.060	*

EdgeAAndX =>  EdgeA	2.0000	-2.3354	0.399	0.018	0.118	*
	     XEdge	2.0000	-1.0287	0.092	0.033	0.115	*

EdgeA	2.0000	-3.5167	0.960	-0.071	0.068	*
XEdge	2.0000	-1.1452	0.121	0.054	0.219	*
TriangleXAX	2.0000	0.3584	0.249	-0.007	0.131	
L3XAX	2.0000	-0.0008	0.007	-0.037	0.173	

EdgeA	2.0000	-3.5777	1.131	0.037	0.550	*
EdgeB	2.0000	-6.2734	0.703	0.078	0.487	*
XEdge	2.0000	-1.1353	0.130	-0.021	0.464	*
TriangleXAX	2.0000	0.3715	0.291	0.030	0.520	
L3XAX	2.0000	-0.0010	0.009	0.016	0.554	
