SampleID	EdgeA	EdgeB	XEdge	TriangleXAX	L3XAX	
1000	9.00000	2.00000	169.00000	54.00000	1770.00000	
2000	10.00000	3.00000	174.00000	65.00000	2166.00000	
3000	8.00000	3.00000	187.00000	48.00000	1638.00000	
4000	8.00000	3.00000	186.00000	50.00000	2022.00000	
5000	5.00000	6.00000	164.00000	26.00000	1058.00000	
6000	8.00000	2.00000	180.00000	44.00000	1782.00000	
7000	12.00000	2.00000	191.00000	67.00000	3038.00000	
8000	10.00000	1.00000	178.00000	49.00000	1886.00000	
9000	11.00000	0.00000	176.00000	52.00000	1834.00000	
10000	9.00000	1.00000	180.00000	39.00000	1593.00000	
11000	10.00000	1.00000	177.00000	50.00000	1939.00000	
12000	10.00000	0.00000	183.00000	48.00000	2082.00000	
13000	12.00000	3.00000	169.00000	54.00000	2346.00000	
14000	13.00000	1.00000	181.00000	79.00000	3335.00000	
15000	13.00000	2.00000	160.00000	48.00000	1972.00000	
16000	8.00000	2.00000	169.00000	36.00000	1451.00000	
17000	8.00000	3.00000	166.00000	35.00000	1317.00000	
18000	9.00000	4.00000	175.00000	46.00000	1856.00000	
19000	8.00000	1.00000	163.00000	32.00000	1257.00000	
20000	4.00000	1.00000	167.00000	24.00000	808.00000	
21000	5.00000	1.00000	162.00000	27.00000	1072.00000	
22000	4.00000	1.00000	159.00000	21.00000	702.00000	
23000	5.00000	1.00000	163.00000	24.00000	890.00000	
24000	6.00000	0.00000	175.00000	37.00000	1436.00000	
25000	4.00000	1.00000	156.00000	14.00000	594.00000	
26000	6.00000	4.00000	158.00000	26.00000	898.00000	
27000	7.00000	4.00000	169.00000	28.00000	1112.00000	
28000	6.00000	4.00000	172.00000	33.00000	1411.00000	
29000	7.00000	5.00000	175.00000	50.00000	1812.00000	
30000	9.00000	4.00000	162.00000	40.00000	1561.00000	
31000	6.00000	3.00000	154.00000	20.00000	1067.00000	
32000	6.00000	3.00000	154.00000	17.00000	848.00000	
33000	10.00000	2.00000	167.00000	48.00000	1696.00000	
34000	9.00000	2.00000	166.00000	39.00000	1565.00000	
35000	10.00000	5.00000	178.00000	52.00000	1884.00000	
36000	9.00000	4.00000	168.00000	43.00000	1660.00000	
37000	9.00000	3.00000	164.00000	51.00000	1860.00000	
38000	10.00000	2.00000	168.00000	39.00000	1773.00000	
39000	9.00000	2.00000	158.00000	32.00000	1462.00000	
40000	9.00000	3.00000	161.00000	40.00000	1731.00000	
41000	6.00000	3.00000	163.00000	30.00000	1025.00000	
42000	5.00000	4.00000	153.00000	25.00000	793.00000	
43000	8.00000	2.00000	151.00000	40.00000	1307.00000	
44000	7.00000	3.00000	167.00000	34.00000	1471.00000	
45000	6.00000	6.00000	174.00000	24.00000	1106.00000	
46000	7.00000	4.00000	181.00000	39.00000	1406.00000	
47000	4.00000	1.00000	168.00000	13.00000	633.00000	
48000	7.00000	2.00000	164.00000	30.00000	1260.00000	
49000	8.00000	2.00000	179.00000	51.00000	1582.00000	
50000	11.00000	1.00000	149.00000	43.00000	1594.00000	
51000	9.00000	0.00000	148.00000	34.00000	1232.00000	
52000	9.00000	2.00000	145.00000	35.00000	1467.00000	
53000	7.00000	2.00000	141.00000	24.00000	855.00000	
54000	6.00000	0.00000	163.00000	23.00000	1257.00000	
55000	7.00000	3.00000	171.00000	39.00000	1443.00000	
56000	7.00000	2.00000	158.00000	29.00000	1143.00000	
57000	5.00000	2.00000	159.00000	25.00000	770.00000	
58000	6.00000	1.00000	154.00000	24.00000	820.00000	
59000	6.00000	1.00000	147.00000	25.00000	1119.00000	
60000	4.00000	1.00000	149.00000	17.00000	645.00000	
61000	10.00000	2.00000	157.00000	39.00000	1860.00000	
62000	5.00000	3.00000	155.00000	27.00000	862.00000	
63000	5.00000	1.00000	153.00000	16.00000	683.00000	
64000	3.00000	1.00000	157.00000	12.00000	417.00000	
65000	3.00000	2.00000	157.00000	12.00000	490.00000	
66000	5.00000	3.00000	144.00000	20.00000	718.00000	
67000	3.00000	5.00000	143.00000	10.00000	460.00000	
68000	4.00000	2.00000	145.00000	16.00000	644.00000	
69000	3.00000	0.00000	151.00000	18.00000	648.00000	
70000	7.00000	1.00000	141.00000	23.00000	853.00000	
71000	8.00000	1.00000	159.00000	31.00000	1236.00000	
72000	6.00000	1.00000	162.00000	29.00000	1032.00000	
73000	4.00000	2.00000	151.00000	15.00000	682.00000	
74000	5.00000	1.00000	158.00000	19.00000	760.00000	
75000	7.00000	0.00000	162.00000	37.00000	1507.00000	
76000	8.00000	0.00000	146.00000	31.00000	1070.00000	
77000	7.00000	0.00000	150.00000	21.00000	861.00000	
78000	6.00000	0.00000	142.00000	13.00000	593.00000	
79000	8.00000	0.00000	162.00000	27.00000	1282.00000	
80000	7.00000	1.00000	142.00000	24.00000	863.00000	
81000	7.00000	0.00000	171.00000	34.00000	1361.00000	
82000	8.00000	4.00000	181.00000	43.00000	1773.00000	
83000	7.00000	6.00000	165.00000	41.00000	1417.00000	
84000	8.00000	4.00000	171.00000	52.00000	2171.00000	
85000	9.00000	1.00000	172.00000	55.00000	2242.00000	
86000	9.00000	1.00000	167.00000	63.00000	2312.00000	
87000	9.00000	0.00000	164.00000	56.00000	2096.00000	
88000	7.00000	1.00000	176.00000	42.00000	1564.00000	
89000	10.00000	2.00000	191.00000	54.00000	2197.00000	
90000	14.00000	1.00000	175.00000	79.00000	3290.00000	
91000	12.00000	2.00000	189.00000	76.00000	2821.00000	
92000	13.00000	0.00000	185.00000	71.00000	2802.00000	
93000	9.00000	1.00000	189.00000	52.00000	2284.00000	
94000	7.00000	1.00000	186.00000	44.00000	1614.00000	
95000	4.00000	0.00000	166.00000	22.00000	765.00000	
96000	5.00000	1.00000	138.00000	13.00000	638.00000	
97000	8.00000	4.00000	144.00000	34.00000	1290.00000	
98000	8.00000	4.00000	165.00000	27.00000	1433.00000	
